rank,gid,role,priority_score,why,cluster_id,evidence
11,100000005287097100,coordinator,0.9321273500874387,111k KZT of seed money flows in; coordinator (role score 0.75); bridge: betweenness in top 2%,2,"pays 2 seeds back; on cycles with 1 seed; downstream of 7 seeds; betweenness top 3%; seed money in 111k; flags repeat_amount,near_threshold"
12,100000007055802100,consolidator,0.9305447354227844,414k KZT of seed money flows in; consolidator (role score 0.67); removing it cuts 0.5% of downstream seed flow,1,6 payers (1 seed) → 2.02M in; sends on 30%; to 1 recipient; up to 4 payers same day; seed money in 414k
13,100000004394765100,coordinator,0.9231873477993213,454k KZT of seed money flows in; coordinator (role score 0.75); bridge: betweenness in top 8%,2,pays 2 seeds back; downstream of 7 seeds; betweenness top 9%; seed money in 454k
14,100000007544358100,transit,0.9203707840071477,300k KZT of seed money flows in; transit (role score 0.79); removing it cuts 0.4% of downstream seed flow,2,"322k in from 2, 350k out to 1 (109%); 7% forwarded within 2 days; seed money in 300k; flags round_amounts"
15,100000003718221100,transit,0.9197025083943043,180k KZT of seed money flows in; transit (role score 0.77); bridge: betweenness in top 11%,27,"350k in from 2, 424k out to 4 (121%); 77% forwarded within 2 days; seed money in 180k"
16,100000004070318100,coordinator,0.9192948239511434,65k KZT of seed money flows in; coordinator (role score 0.88); bridge: betweenness in top 1%,4,pays 3 seeds back; on cycles with 1 seed; downstream of 7 seeds; betweenness top 1%; seed money in 65k; flags near_threshold
17,100000004351795100,distributor,0.9092588859772897,67k KZT of seed money flows in; distributor (role score 0.74); bridge: betweenness in top 1%,14,pays 14 recipients 1.72M; from 3 payers (1 seed); 100% passed on within 2 days; seed money in 67k; flags near_threshold
18,100000008603629100,distributor,0.9081747540727586,67k KZT of seed money flows in; distributor (role score 0.77); bridge: betweenness in top 1%,1,pays 61 recipients 4.99M; from 19 payers; 100% passed on within 2 days; seed money in 67k
19,100000004759121100,consolidator,0.9060509814390082,132k KZT of seed money flows in; consolidator (role score 0.58); bridge: betweenness in top 8%,11,6 payers (1 seed) → 710k in; sends on 44%; to 2 recipients; up to 1 payer same day; seed money in 132k; flags round_amounts
20,100000008477350100,distributor,0.9042831382077503,59k KZT of seed money flows in; distributor (role score 0.80); bridge: betweenness in top 1%,1,pays 39 recipients 3.37M; from 11 payers; 72% passed on within 2 days; seed money in 59k
21,100000000437046100,distributor,0.9027976777422454,54k KZT of seed money flows in; distributor (role score 0.89); bridge: betweenness in top 1%,11,pays 42 recipients 7.61M; from 9 payers; 90% passed on within 2 days; seed money in 54k; flags repeat_amount
22,100000004156082100,distributor,0.9007501756947434,66k KZT of seed money flows in; distributor (role score 0.93); bridge: betweenness in top 1%,2,pays 26 recipients 2.32M; from 5 payers (1 seed); 100% passed on within 2 days; seed money in 66k; flags near_threshold
23,100000008169544100,coordinator,0.8964381636221991,137k KZT of seed money flows in; coordinator (role score 0.75); bridge: betweenness in top 6%,2,pays 2 seeds back; on cycles with 1 seed; downstream of 7 seeds; betweenness top 7%; seed money in 137k; flags near_threshold
24,100000000661912100,transit,0.8961721245534994,77k KZT of seed money flows in; transit (role score 0.76); bridge: betweenness in top 1%,1,"393k in from 5, 431k out to 2 (110%); 70% forwarded within 2 days; seed money in 77k"
25,100000004390333100,coordinator,0.8872639016763186,46k KZT of seed money flows in; coordinator (role score 0.75); bridge: betweenness in top 5%,4,pays 2 seeds back; on cycles with 1 seed; downstream of 7 seeds; betweenness top 5%; seed money in 46k
26,100000003635170100,transit,0.878623533834177,46k KZT of seed money flows in; transit (role score 0.86); bridge: betweenness in top 4%,29,"268k in from 3, 254k out to 4 (94%); 53% forwarded within 2 days; seed money in 46k; flags near_threshold"
27,100000007639767100,coordinator,0.8752757998877735,coordinator (role score 0.75); 24k KZT of seed money flows in; bridge: betweenness in top 1%,4,pays 2 seeds back; on cycles with 1 seed; downstream of 7 seeds; betweenness top 1%; seed money in 24k
28,100000004071080100,consolidator,0.8724247327351541,76k KZT of seed money flows in; consolidator (role score 0.85); bridge: betweenness in top 13%,1,9 payers (1 seed) → 239k in; sends on 19%; to 2 recipients; up to 2 payers same day; seed money in 76k; flags near_threshold
29,100000002838861100,consolidator,0.8689789366064312,405k KZT of seed money flows in; consolidator (role score 0.74); reachable from 8 seeds,5,5 payers (2 seeds) → 555k in; sends on 2%; to 1 recipient; up to 2 payers same day; seed money in 405k
30,100000000331309100,distributor,0.8645379909238002,distributor (role score 1.00); 34k KZT of seed money flows in; bridge: betweenness in top 1%,7,pays 99 recipients 23.00M; from 5 payers; 100% passed on within 2 days; seed money in 34k; flags repeat_amount
