gid,role,role_score,cluster_id,priority_score,evidence,role_detail,secondary_roles,depth,is_seed
100000005395727100,peripheral,0.4,2,0.2534737166111889,seed with 0 outgoing transfers in data; 1 payer; seed money in 317,seed_no_outgoing,,0,True
100000005409680100,peripheral,0.30000000000000004,11,0.30753730448852395,seed with 0 outgoing transfers in data; 2 payers; seed money in 8k,seed_no_outgoing,,0,True
100000005417257100,peripheral,0.5666666666666667,20,0.06965365889977863,0 payers / 2 recipients; 106k out; no role rule met,weak_signal,,0,True
100000005454368100,peripheral,0.30000000000000004,8,0.25949364502579586,seed with 0 outgoing transfers in data; 2 payers; seed money in 2k,seed_no_outgoing,,0,True
100000005480435100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000005485830100,peripheral,0.25,35,0.018619329872101492,0 payers / 5 recipients; 276k out; no role rule met,weak_signal,,0,True
100000005493505100,peripheral,0.19999999999999996,8,0.34740003559294025,seed with 0 outgoing transfers in data; 3 payers; seed money in 23k,seed_no_outgoing,,0,True
100000005495722100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000005498992100,distributor,0.9,5,0.21195164626428487,pays 16 recipients 2.26M; from 0 payers,distributor,,0,True
100000005519347100,peripheral,0.8,2,0.542526753724093,2 payers / 1 recipient; 99k out; no role rule met; seed money in 73k,weak_signal,,0,True
100000005523088100,peripheral,0.4,20,0.44877408652353223,seed with 0 outgoing transfers in data; 1 payer; seed money in 700k,seed_no_outgoing,,0,True
100000005543136100,peripheral,0.7833333333333333,8,0.08557173884224882,0 payers / 1 recipient; 10k out; no role rule met,weak_signal,,0,True
100000005550592100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000005560900100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000005568407100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000005668605100,peripheral,0.19999999999999996,20,0.3754158562916877,seed with 0 outgoing transfers in data; 3 payers; seed money in 64k,seed_no_outgoing,,0,True
100000005744674100,peripheral,0.7833333333333333,20,0.08557173884224882,0 payers / 1 recipient; 50k out; no role rule met,weak_signal,,0,True
100000006232815100,peripheral,0.25,25,0.3479788748635756,1 payer / 5 recipients; 296k out; no role rule met; seed money in 56k; flags round_amounts,weak_signal,,0,True
100000006249740100,peripheral,0.35,38,0.022574731554775903,0 payers / 3 recipients; 93k out; no role rule met,weak_signal,,0,True
100000006831291100,peripheral,0.7833333333333333,38,0.08557173884224882,0 payers / 1 recipient; 15k out; no role rule met; flags near_threshold,weak_signal,,0,True
100000006866783100,distributor,0.9294871794871795,1,0.6140712875746135,pays 67 recipients 3.95M; from 13 payers; seed money in 75k; flags repeat_amount,distributor,,0,True
100000007018630100,peripheral,0.7833333333333333,41,0.08557173884224882,0 payers / 1 recipient; 200k out; no role rule met; flags burst,weak_signal,,0,True
100000007747786100,distributor,1.0,5,0.2161964675822769,pays 31 recipients 4.24M; from 0 payers,distributor,,0,True
100000007982728100,peripheral,0.09999999999999998,5,0.012059151471568323,0 payers / 8 recipients; 1.80M out; no role rule met,weak_signal,,0,True
100000008117324100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000008205000100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000008314203100,coordinator,0.75,4,0.5915737345892557,pays 2 seeds back; on cycles with 2 seeds; downstream of 9 seeds; betweenness 0; seed money in 382k; flags repeat_amount,coordinator,,0,True
100000008418835100,peripheral,0.30000000000000004,2,0.44205955098416305,1 payer / 4 recipients; 186k out; no role rule met; seed money in 1.37M; flags near_threshold,weak_signal,,0,True
100000008513251100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000008516839100,peripheral,0.19999999999999996,20,0.38571919530899573,seed with 0 outgoing transfers in data; 3 payers; seed money in 102k,seed_no_outgoing,,0,True
100000008522127100,peripheral,0.7833333333333333,3,0.08557173884224882,0 payers / 1 recipient; 145k out; no role rule met,weak_signal,,0,True
100000008571433100,peripheral,0.7333333333333334,37,0.4298846316584676,2 payers / 2 recipients; 1.43M out; no role rule met; seed money in 350k; flags round_amounts,weak_signal,,0,True
100000008575624100,peripheral,0.35,36,0.022574731554775903,0 payers / 3 recipients; 90k out; no role rule met,weak_signal,,0,True
100000008601794100,peripheral,0.8,39,0.4419244884876814,2 payers / 1 recipient; 871k out; no role rule met; seed money in 494k,weak_signal,,0,True
100000008637537100,coordinator,0.75,4,0.8444107280027457,pays 2 seeds back; on cycles with 2 seeds; downstream of 9 seeds; betweenness top 8%; seed money in 615k; flags repeat_amount,coordinator,,0,True
100000008650785100,peripheral,0.7333333333333334,2,0.5407902359121871,2 payers / 2 recipients; 120k out; no role rule met; seed money in 92k,weak_signal,,0,True
100000008654653100,peripheral,0.7833333333333333,2,0.08557173884224882,0 payers / 1 recipient; 54k out; no role rule met,weak_signal,,0,True
100000008659445100,peripheral,0.5777777777777777,32,0.4085061679296713,3 payers / 4 recipients; 875k out; no role rule met; seed money in 100k,weak_signal,,0,True
100000008669037100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000008673001100,peripheral,0.4,20,0.33109606280337994,seed with 0 outgoing transfers in data; 1 payer; seed money in 80k,seed_no_outgoing,,0,True
100000008680731100,distributor,1.0,12,0.2161964675822769,pays 27 recipients 1.46M; from 0 payers,distributor,,0,True
100000008701222100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000008738325100,peripheral,0.7833333333333333,20,0.4303284084326214,1 payer / 1 recipient; 54k out; no role rule met; seed money in 37k,weak_signal,,0,True
100000003134937100,terminal,0.9,2,0.5648109306645892,1 payer (1 seed) → 10k in; no outgoing transfers although depth 1 was crawled; seed money in 10k,terminal_observed,,1,False
100000005074393100,peripheral,0.02191017821557084,8,0.6034002153736079,4 payers / 6 recipients; 686k out; no role rule met; seed money in 209k,weak_signal,,1,False
100000001924185100,terminal,0.9,2,0.6784677239222694,2 payers (2 seeds) → 151k in; no outgoing transfers although depth 1 was crawled; seed money in 151k,terminal_observed,,1,False
100000004070318100,coordinator,0.875,4,0.9192948239511434,pays 3 seeds back; on cycles with 1 seed; downstream of 7 seeds; betweenness top 1%; seed money in 65k; flags near_threshold,coordinator,distributor;transit,1,False
100000005807278100,terminal,0.9,35,0.4759420779376434,1 payer (1 seed) → 8k in; no outgoing transfers although depth 1 was crawled; seed money in 8k,terminal_observed,,1,False
100000003377795100,terminal,0.9,5,0.4702217839690124,1 payer (1 seed) → 7k in; no outgoing transfers although depth 1 was crawled; seed money in 7k,terminal_observed,,1,False
100000004330371100,peripheral,0.5540767154608189,2,0.6389023573059049,2 payers / 2 recipients; 91k out; no role rule met; seed money in 168k; flags near_threshold,weak_signal,,1,False
100000008165763100,transit,0.7811766875533424,4,0.9516889394938176,"1.17M in from 15, 1.27M out to 17 (109%); 54% forwarded within 2 days; seed money in 190k",transit,,1,False
100000001684867100,terminal,0.9,2,0.6041720010677882,1 payer (1 seed) → 31k in; no outgoing transfers although depth 1 was crawled; seed money in 31k,terminal_observed,,1,False
100000003900547100,terminal,0.9,2,0.5954553626393982,1 payer (1 seed) → 24k in; no outgoing transfers although depth 1 was crawled; seed money in 24k,terminal_observed,,1,False
100000006656003100,peripheral,0.09999999999999998,9,0.28678648412573027,1 payer / 1 recipient; 9k out; no role rule met; seed money in 20k,weak_signal,,1,False
100000008237827100,terminal,0.9,8,0.6415582080770551,1 payer (1 seed) → 40k in; no outgoing transfers although depth 1 was crawled; seed money in 40k,terminal_observed,,1,False
100000003014659100,terminal,0.9,2,0.6687296044280524,1 payer (1 seed) → 280k in; no outgoing transfers although depth 1 was crawled; seed money in 280k,terminal_observed,,1,False
100000007939160100,peripheral,0.5666666666666667,33,0.5428377379596891,1 payer / 2 recipients; 14k out; no role rule met; seed money in 795k,weak_signal,,1,False
100000007274584100,terminal,0.9,8,0.6393790484699575,1 payer (1 seed) → 38k in; no outgoing transfers although depth 1 was crawled; seed money in 38k,terminal_observed,,1,False
100000001524952100,terminal,0.9,1,0.6412177143884461,1 payer (1 seed) → 104k in; no outgoing transfers although depth 1 was crawled; seed money in 104k,terminal_observed,,1,False
100000003131693100,terminal,0.9,8,0.6871843623506597,1 payer (1 seed) → 353k in; no outgoing transfers although depth 1 was crawled; seed money in 353k,terminal_observed,,1,False
100000008383405100,terminal,0.9,12,0.5173461104724963,1 payer (1 seed) → 25k in; no outgoing transfers although depth 1 was crawled; seed money in 25k,terminal_observed,,1,False
100000008736173100,terminal,0.9,9,0.5242921817201197,1 payer (1 seed) → 31k in; no outgoing transfers although depth 1 was crawled; seed money in 31k,terminal_observed,,1,False
100000002861485100,terminal,0.9,2,0.6025376313624652,1 payer (1 seed) → 29k in; no outgoing transfers although depth 1 was crawled; seed money in 29k,terminal_observed,,1,False
100000008745474100,terminal,0.9,9,0.5328726226730662,1 payer (1 seed) → 41k in; no outgoing transfers although depth 1 was crawled; seed money in 41k,terminal_observed,,1,False
100000008691330100,terminal,0.9,9,0.5112172240775344,1 payer (1 seed) → 21k in; no outgoing transfers although depth 1 was crawled; seed money in 21k,terminal_observed,,1,False
100000007639767100,coordinator,0.75,4,0.8752757998877735,pays 2 seeds back; on cycles with 1 seed; downstream of 7 seeds; betweenness top 1%; seed money in 24k,coordinator,,1,False
100000002921047100,peripheral,0.035502958579881616,5,0.5774318967223624,2 payers / 1 recipient; 163k out; no role rule met; seed money in 175k,weak_signal,,1,False
100000004783447100,terminal,0.9,9,0.5202062574568118,1 payer (1 seed) → 26k in; no outgoing transfers although depth 1 was crawled; seed money in 26k,terminal_observed,,1,False
100000008696919100,terminal,0.9,9,0.5249731690973377,1 payer (1 seed) → 32k in; no outgoing transfers although depth 1 was crawled; seed money in 32k,terminal_observed,,1,False
100000008736940100,peripheral,0.2484869981600124,32,0.4785298299710717,3 payers / 3 recipients; 182k out; no role rule met; seed money in 366k,weak_signal,,1,False
100000005940652100,terminal,0.9,4,0.5853086507188503,1 payer (1 seed) → 8k in; no outgoing transfers although depth 1 was crawled; seed money in 8k,terminal_observed,,1,False
100000004180097100,peripheral,0.43016003204455733,16,0.6222408661433053,3 payers / 3 recipients; 48k out; no role rule met; seed money in 97k; flags near_threshold,weak_signal,,1,False
100000005539201100,peripheral,0.31324718706047816,2,0.5424745446918396,1 payer / 1 recipient; 25k out; no role rule met; seed money in 46k,weak_signal,,1,False
100000005620225100,terminal,0.9,1,0.6158849839559374,2 payers (1 seed) → 50k in; no outgoing transfers although depth 1 was crawled; seed money in 44k,terminal_observed,,1,False
100000004388353100,terminal,0.9,2,0.6209242905473504,2 payers (1 seed) → 63k in; no outgoing transfers although depth 1 was crawled; seed money in 36k,terminal_observed,,1,False
100000007442518100,peripheral,0.0,26,0.47478439939637285,"510k in, 4.42M out (867%); 66% forwarded within 2 days, but most outflow comes from outside the graph; seed money in 10k",weak_signal,transit,1,False
100000000267734100,peripheral,0.15000000000000002,28,0.4662039584434264,2 payers / 7 recipients; 282k out; no role rule met; seed money in 151k,weak_signal,,1,False
100000001987030100,peripheral,0.2304950751684811,2,0.4767138636318238,2 payers / 1 recipient; 19k out; no role rule met; seed money in 8k,weak_signal,,1,False
100000002603478100,terminal,0.9,12,0.5143497660127373,1 payer (1 seed) → 24k in; no outgoing transfers although depth 1 was crawled; seed money in 24k,terminal_observed,,1,False
100000001380054100,peripheral,0.6,25,0.5316241458148332,"2 payers / 3 recipients; 360k out; no role rule met; seed money in 127k; flags round_amounts,burst",weak_signal,,1,False
100000002992171100,terminal,0.9,9,0.4969164891559571,1 payer (1 seed) → 15k in; no outgoing transfers although depth 1 was crawled; seed money in 15k,terminal_observed,,1,False
100000002781227100,transit,0.7220713947267845,3,0.5931854047153383,"191k in from 2, 212k out to 3 (111%); 22% forwarded within 2 days; seed money in 191k; flags near_threshold",transit,,1,False
100000008745643100,terminal,0.9,9,0.5091742619458806,1 payer (1 seed) → 20k in; no outgoing transfers although depth 1 was crawled; seed money in 20k,terminal_observed,,1,False
100000002836736100,terminal,0.9,5,0.5795202580124976,2 payers (1 seed) → 509k in; no outgoing transfers although depth 1 was crawled; seed money in 325k,terminal_observed,,1,False
100000004188160100,peripheral,0.06293960984270786,2,0.5632446596969879,2 payers / 5 recipients; 134k out; no role rule met; seed money in 80k,weak_signal,,1,False
100000004841728100,terminal,0.9,9,0.5437684207085538,1 payer (1 seed) → 52k in; no outgoing transfers although depth 1 was crawled; seed money in 52k,terminal_observed,,1,False
100000001554432100,terminal,0.9,8,0.6542245732933095,1 payer (1 seed) → 54k in; no outgoing transfers although depth 1 was crawled; seed money in 54k,terminal_observed,,1,False
100000008768896100,terminal,0.9,9,0.5387291141171408,1 payer (1 seed) → 47k in; no outgoing transfers although depth 1 was crawled; seed money in 47k,terminal_observed,,1,False
100000008232832100,peripheral,0.4881305637982196,4,0.5240878855069543,1 payer / 1 recipient; 138k out; no role rule met; seed money in 337k,weak_signal,,1,False
100000002864256100,terminal,0.9,8,0.6742456021835179,1 payer (1 seed) → 136k in; no outgoing transfers although depth 1 was crawled; seed money in 136k,terminal_observed,,1,False
100000001929088100,terminal,0.9,5,0.5814270226687078,2 payers (2 seeds) → 396k in; no outgoing transfers although depth 1 was crawled; seed money in 396k,terminal_observed,,1,False
100000002794197100,terminal,0.9,5,0.5234749968674581,1 payer (1 seed) → 30k in; no outgoing transfers although depth 1 was crawled; seed money in 30k,terminal_observed,,1,False
100000005669845100,terminal,0.9,25,0.5089018669949934,1 payer (1 seed) → 20k in; no outgoing transfers although depth 1 was crawled; seed money in 20k,terminal_observed,,1,False
100000002211413100,terminal,0.9,9,0.5294676857869763,1 payer (1 seed) → 37k in; no outgoing transfers although depth 1 was crawled; seed money in 37k,terminal_observed,,1,False
100000002784085100,terminal,0.9,5,0.5720974956008216,1 payer (1 seed) → 200k in; no outgoing transfers although depth 1 was crawled; seed money in 200k,terminal_observed,,1,False
100000008782421100,terminal,0.9,9,0.5413168661505691,1 payer (1 seed) → 50k in; no outgoing transfers although depth 1 was crawled; seed money in 50k,terminal_observed,,1,False
100000003739818100,terminal,0.9,8,0.6561313379495198,1 payer (1 seed) → 57k in; no outgoing transfers although depth 1 was crawled; seed money in 57k,terminal_observed,,1,False
100000002214570100,terminal,0.9,9,0.5207510473585862,1 payer (1 seed) → 26k in; no outgoing transfers although depth 1 was crawled; seed money in 26k,terminal_observed,,1,False
100000006443391100,peripheral,0.13510419882564195,5,0.4450479505911879,3 payers / 2 recipients; 60k out; no role rule met; seed money in 66k; flags near_threshold,weak_signal,,1,False
100000005473151100,peripheral,0.5777777777777777,5,0.6436238697879496,"3 payers / 4 recipients; 225k out; no role rule met; seed money in 65k; flags round_amounts,burst",weak_signal,,1,False
100000005124479100,peripheral,0.7333333333333334,11,0.641671705973258,2 payers / 2 recipients; 22k out; no role rule met; seed money in 49k,weak_signal,,1,False
100000005527892100,peripheral,0.09091322312171313,3,0.5709625166387917,3 payers / 8 recipients; 552k out; no role rule met; seed money in 70k,weak_signal,,1,False
100000008028628100,terminal,0.9,9,0.5469009626437565,1 payer (1 seed) → 57k in; no outgoing transfers although depth 1 was crawled; seed money in 57k,terminal_observed,,1,False
100000001953577100,terminal,0.9,9,0.49991283361571615,1 payer (1 seed) → 16k in; no outgoing transfers although depth 1 was crawled; seed money in 16k,terminal_observed,,1,False
100000008193577100,peripheral,0.33333333333333326,32,0.4723782439968693,2 payers / 5 recipients; 480k out; no role rule met; seed money in 154k,weak_signal,,1,False
100000008753193100,terminal,0.9,9,0.5274247236553223,1 payer (1 seed) → 35k in; no outgoing transfers although depth 1 was crawled; seed money in 35k,terminal_observed,,1,False
100000008746025100,terminal,0.9,9,0.5120344089301961,1 payer (1 seed) → 22k in; no outgoing transfers although depth 1 was crawled; seed money in 22k,terminal_observed,,1,False
100000002934441100,terminal,0.9,1,0.6086665177574269,2 payers (1 seed) → 61k in; no outgoing transfers although depth 1 was crawled; seed money in 36k,terminal_observed,,1,False
100000003701161100,peripheral,0.6,27,0.6557000459439484,4 payers / 3 recipients; 349k out; no role rule met; seed money in 491k,weak_signal,,1,False
100000006707582100,distributor,0.85,10,0.6728609278498414,pays 14 recipients 961k; from 2 payers (1 seed); 44% passed on within 2 days; seed money in 22k,distributor,,1,False
100000003239379100,terminal,0.9,12,0.557524365728357,1 payer (1 seed) → 92k in; no outgoing transfers although depth 1 was crawled; seed money in 92k,terminal_observed,,1,False
100000000979923100,terminal,0.9,2,0.6526583023257081,1 payer (1 seed) → 98k in; no outgoing transfers although depth 1 was crawled; seed money in 98k,terminal_observed,,1,False
100000001111763100,terminal,0.9,9,0.5023643881737009,1 payer (1 seed) → 17k in; no outgoing transfers although depth 1 was crawled; seed money in 17k,terminal_observed,,1,False
100000003865939100,terminal,0.9,44,0.5556176010721466,1 payer (1 seed) → 81k in; no outgoing transfers although depth 1 was crawled; seed money in 81k,terminal_observed,,1,False
100000002858835100,terminal,0.9,9,0.5163927281443912,1 payer (1 seed) → 24k in; no outgoing transfers although depth 1 was crawled; seed money in 24k,terminal_observed,,1,False
100000003404627100,terminal,0.9,4,0.6929046563192905,4 payers (1 seed) → 878k in; no outgoing transfers although depth 1 was crawled; seed money in 614k; flags burst,terminal_observed,,1,False
100000008691027100,terminal,0.9,9,0.503317770501806,1 payer (1 seed) → 18k in; no outgoing transfers although depth 1 was crawled; seed money in 18k,terminal_observed,,1,False
100000004071080100,consolidator,0.8525565800502934,1,0.8724247327351541,9 payers (1 seed) → 239k in; sends on 19%; to 2 recipients; up to 2 payers same day; seed money in 76k; flags near_threshold,consolidator,,1,False
100000002864680100,terminal,0.9,12,0.546356172741982,1 payer (1 seed) → 56k in; no outgoing transfers although depth 1 was crawled; seed money in 56k,terminal_observed,,1,False
100000001330685100,peripheral,0.7,7,0.6243292274334403,3 payers / 1 recipient; 100k out; no role rule met; seed money in 137k,weak_signal,,1,False
100000008745725100,terminal,0.9,9,0.5387291141171408,1 payer (1 seed) → 47k in; no outgoing transfers although depth 1 was crawled; seed money in 47k,terminal_observed,,1,False
100000002621949100,terminal,0.9,8,0.6777867365450514,1 payer (1 seed) → 165k in; no outgoing transfers although depth 1 was crawled; seed money in 165k,terminal_observed,,1,False
100000007908818100,peripheral,0.44999999999999996,13,0.6731333228007286,"4 payers / 6 recipients; 302k out; no role rule met; seed money in 419k; flags repeat_amount,near_threshold",weak_signal,,1,False
100000008691495100,terminal,0.9,9,0.5210234423094734,1 payer (1 seed) → 27k in; no outgoing transfers although depth 1 was crawled; seed money in 27k,terminal_observed,,1,False
100000003832231100,terminal,0.9,8,0.6363827040101986,1 payer (1 seed) → 35k in; no outgoing transfers although depth 1 was crawled; seed money in 35k,terminal_observed,,1,False
100000002371751100,transit,0.85,41,0.8155949741315595,"200k in from 1, 250k out to 1 (125%); 85% forwarded within 2 days; seed money in 200k; flags burst",transit,,1,False
100000002894076100,terminal,0.9,5,0.6923598664175161,4 payers (2 seeds) → 1.12M in; no outgoing transfers although depth 1 was crawled; seed money in 822k; flags burst,terminal_observed,,1,False
100000001362940100,terminal,0.9,8,0.6645755814270227,1 payer (1 seed) → 81k in; no outgoing transfers although depth 1 was crawled; seed money in 81k,terminal_observed,,1,False
100000008741372100,terminal,0.9,9,0.528241908507984,1 payer (1 seed) → 36k in; no outgoing transfers although depth 1 was crawled; seed money in 36k,terminal_observed,,1,False
100000002618492100,terminal,0.9,2,0.6632817054103086,2 payers (1 seed) → 296k in; no outgoing transfers although depth 1 was crawled; seed money in 181k,terminal_observed,,1,False
100000002750332100,terminal,0.9,5,0.4880636532521234,1 payer (1 seed) → 11k in; no outgoing transfers although depth 1 was crawled; seed money in 11k,terminal_observed,,1,False
100000004948177100,terminal,0.9,2,0.6576976089171213,3 payers (1 seed) → 437k in; no outgoing transfers although depth 1 was crawled; seed money in 344k,terminal_observed,,1,False
100000002511825100,terminal,0.9,1,0.6289599415985225,1 payer (1 seed) → 65k in; no outgoing transfers although depth 1 was crawled; seed money in 65k,terminal_observed,,1,False
100000008566737100,terminal,0.9,14,0.6708406652974283,2 payers (1 seed) → 230k in; no outgoing transfers although depth 1 was crawled; seed money in 106k,terminal_observed,,1,False
100000008661585100,terminal,0.9,9,0.5351879797556073,1 payer (1 seed) → 43k in; no outgoing transfers although depth 1 was crawled; seed money in 43k,terminal_observed,,1,False
100000004759121100,consolidator,0.5802816901408451,11,0.9060509814390082,6 payers (1 seed) → 710k in; sends on 44%; to 2 recipients; up to 1 payer same day; seed money in 132k; flags round_amounts,consolidator,,1,False
100000004360785100,terminal,0.9,2,0.6378127775023563,1 payer (1 seed) → 95k in; no outgoing transfers although depth 1 was crawled; seed money in 95k,terminal_observed,,1,False
100000005092518100,terminal,0.9,9,0.5200700599813681,1 payer (1 seed) → 26k in; no outgoing transfers although depth 1 was crawled; seed money in 26k,terminal_observed,,1,False
100000008737958100,terminal,0.9,17,0.524836971621894,2 payers (1 seed) → 53k in; no outgoing transfers although depth 1 was crawled; seed money in 32k,terminal_observed,,1,False
100000003044518100,terminal,0.9,5,0.5266075388026608,1 payer (1 seed) → 34k in; no outgoing transfers although depth 1 was crawled; seed money in 34k,terminal_observed,,1,False
100000004159526100,peripheral,0.6,15,0.6481410860568289,4 payers / 4 recipients; 68k out; no role rule met; seed money in 120k,weak_signal,,1,False
100000007544358100,transit,0.7868217054263567,2,0.9203707840071477,"322k in from 2, 350k out to 1 (109%); 7% forwarded within 2 days; seed money in 300k; flags round_amounts",transit,,1,False
100000005901606100,terminal,0.9,9,0.5278333160816532,1 payer (1 seed) → 36k in; no outgoing transfers although depth 1 was crawled; seed money in 36k,terminal_observed,,1,False
100000006658598100,terminal,0.9,2,0.5577286619415223,1 payer (1 seed) → 9k in; no outgoing transfers although depth 1 was crawled; seed money in 9k,terminal_observed,,1,False
